IDPasivo;Fecha_Donativo;Singularizacion_Donativo;Ocasion_Donativo;Nombre_DonanteEntidad;Nombre_DonanteActivo;Apellidos_DonanteActivo;Nombre_Institucion;IDORPortal_Institucion;IDDonativo
81711;2015-01-05;1 LIBRO;PRESENTE DE NAVIDAD;ENERSIS;;;SUBSECRETARÍA DE ECONOMÍA;AH001;504
81722;2015-01-05;libro Parques Nacionales de Chile (queda en exhibición en Gabinete Subsecretario);Regalo de Navidad;Enersis;;;SUBSECRETARÍA DE OBRAS PÚBLICAS;AM001;492
81705;2015-01-13;Libro Parques Nacionales de Chile Tomo I;Fiestas navideñas;Enersis;;;SUBSECRETARIA PARA LAS FUERZAS ARMADAS;AD022;569
81712;2015-01-06;Libro "Parques Nacionales de Chile, Tomo I";Regalo de Navidad;Enersis S.A.;;;SUBSECRETARÍA DE HACIENDA;AE001;688
81752;2015-01-19;Libro "Parques Nacionales de Chile";Llega directamente al Gabinete del Subsecretario;Enersis S.A.;;;SUBSECRETARÍA DEL MEDIO AMBIENTE;AW002;609
81473;2014-12-17;LIBRO: SANTIAGO DESDE EL AIRE;SALUDO DE FIN DE AÑO;ENTEL;;;CONTRALORIA GENERAL DE LA REPUBLICA;NR002;17
81724;2015-01-06;Publicación "Santiago desde el Aire" de Entel;Regalo de cortesía;ENTEL;;;POLICÍA DE INVESTIGACIONES DE CHILE;AD010;533
81746;2014-12-17;Libro Santiago Desde El Aire;Obsequio;ENTEL;;;SUBSECRETARÍA DE AGRICULTURA;AR001;148
81711;2014-12-18;LIBRO;PRESENTE DE NAVIDAD;ENTEL;;;SUBSECRETARÍA DE ECONOMÍA;AH001;188
81744;2014-12-15;Libro "Santiago desde el Aire";navidad 2014;Entel;;;SUBSECRETARÍA DE MINERÍA;AS001;427
81942;2014-12-19;Libro "Santiago desde el Aire";Saludo por fiestas de fin de año;Entel;;;SUBSECRETARÍA DE PREVENCIÓN DE DELITOS;AB093;231
81810;2014-12-18;LIBRO ;FIESTAS DE FIN DE AÑO ;ENTEL;;;SUBSECRETARÍA DE RELACIONES EXTERIORES;AC001;171
81928;2014-12-17;LIBRO "SANTIAGO VISTO DESDE EL AIRE";FIESTA NAVIDEÑA;ENTEL;;;SUBSECRETARÍA DE SALUD PÚBLICA ;AO001;159
81690;2014-12-17;Libro "Santiago desde el Aire";Navidad;ENTEL;;;SUBSECRETARÍA DE TELECOMUNICACIONES;AN002;509
81709;2014-12-17;Libro "Santiago desde el Aire" (Ingresado al inventario MTT Acta N° 24306);Navidad;ENTEL;;;SUBSECRETARIA DE TRANSPORTES;AN001;157
81731;2014-12-17;Libro Santiago Desde El Aire;Navidad;Entel;;;SUBSECRETARIA DE VIVIENDA Y URBANISMO;AP001;144
81775;2014-12-17;Libro Santiago Desde el Aire;Navidad 2014;Entel;;;SUBSECRETARÍA DEL INTERIOR;AB001;183
81688;2014-12-24;LIBRO "SANTIAGO DESE EL AIRE";Regalo Navideño;Entel;;;SUBSECRETARIA GENERAL DE GOBIERNO;AG001;463
81768;2014-12-17;Libro institucional;Fiestas Navideñas;Entel   (Antonio Büchi, Gerente General);;;SUBSECRETARÍA DEL INTERIOR;AB001;133
81962;2015-01-21;1 EJEMPLAR REVISTA "ENTEL AÑO 20", EDICIÓN N° 1, ENERO 2015;CORTESÍA;ENTEL CHILE;;;SUBSECRETARÍA DE JUSTICIA;AK001;640
81697;2015-01-19;1 EJEMPLAR REVISTA "ENTEL AÑO 20", EDICIÓN N° 1, ENERO 2015;CORTESÍA;ENTEL CHILE;;;SUBSECRETARÍA DE JUSTICIA;AK001;677
81727;2014-12-17;Publicación "Santiago desde el aire" de Entel;Regalo Navidad;Entel Chile;;;SUBSECRETARÍA GENERAL DE LA PRESIDENCIA;AF001;130
81472;2014-12-17;LIBRO;SALUDO NAVIDEÑO;ENTEL S.A.;;;CONTRALORIA GENERAL DE LA REPUBLICA;NR002;20
81713;2014-12-17;1 Libro Santiago desde el Aire;Regalo de Navidad;Entel S.A.;;;SUBSECRETARÍA DE HACIENDA;AE001;373
81712;2014-12-26;1 Libro, Santiago desde el aire;Regalo de Navidad;Entel S.A.;;;SUBSECRETARÍA DE HACIENDA;AE001;446
81720;2014-12-19;Libro "Santiago desde el Aire"  ( En  exhibición oficina Ministro);Regalo de Navidad ;ENTEL S.A.;;;SUBSECRETARÍA DE OBRAS PÚBLICAS;AM001;407
81775;2014-12-19;Bolsita Semilla, Frutos Secos, Semillas y Vegetales;Navidad;Espacio Gastronómico;;;SUBSECRETARÍA DEL INTERIOR;AB001;205
81705;2014-12-17;Libro/ Espacio Público memoria anual 2014;memoria institucional;Espacio Público;;;SUBSECRETARIA PARA LAS FUERZAS ARMADAS;AD022;131
81962;2015-01-09;1 EJEMPLAR REVISTA AMÉRICA ECONOMÍA, EDICIÓN N° 104, DICIEMBRE 2014: "CHILE CONQUISTA EL SOL".;CORTESÍA;ESPECIAL FUSIONES & ADQUISICIONES 2014;;;SUBSECRETARÍA DE JUSTICIA;AK001;634
81722;2014-12-19;agenda;Regalo de Navidad;Exportadores de fruta;;;SUBSECRETARÍA DE OBRAS PÚBLICAS;AM001;194
81710;2014-12-22;Agenda / Caja de fruta;Presente de Navidad;Exportadores de Frutas de CHile A.G. Aoex;;;SUBSECRETARIA DEL DEPORTE;BA001;417
81749;2015-01-16;Lápiz ;Lanzamiento Libro Observatorio de Residuos (USACH/EMERES);Facultada de Ingeniería Universidad de Santiago USACH;;;SUBSECRETARÍA DEL MEDIO AMBIENTE;AW002;596
81941;2014-11-28;Libro: El Caballo de Raza Chilena;Obsequio enviado por correo.;Federación de Criadores de Caballos Chileno;;;SUBSECRETARÍA DE DESARROLLO REGIONAL Y ADMINISTRATIVO (SUBDERE);AB002;74
81715;2014-12-01;Libro "El Caballo de Raza Chilena";Obsequio de Fin de Año;Federacion de Criadores de Caballos Chilenos;;;SUBSECRETARÍA DE ECONOMÍA;AH001;107
81928;2014-11-28;LIBRO "EL CABALLO DE RAZA CHILENA;OBSEQUIO DE LA FEDERACIÓN DE CRIADORES DE CABALLOS CHILENOS;FEDERACIÓN DE CRIADORES DE CABALLOS CHILENOS;;;SUBSECRETARÍA DE SALUD PÚBLICA ;AO001;72
82033;2014-12-16;Libro El Caballo de Raza Chilena;Obsequio Federación de criadores de caballos chilenos;Federación de Criadores de caballos chilenos;;;SUBSECRETARÍA DE SALUD PÚBLICA ;AO001;472
81723;2014-12-05;Libro "El caballo de raza chilena";Cortesía;Federación de Criadores de Caballos Chilenos;;;SUBSECRETARÍA DE TURISMO;AH011;91
81752;2014-12-04;Libro;Enviado directamente al Gabinete del Subsecretario ;Federación de Criadores de Caballos Chilenos;;;SUBSECRETARÍA DEL MEDIO AMBIENTE;AW002;93
81749;2014-12-05;Libro " El Caballo de Raza Chilena ";Enviado directamente a Gabinete del Ministro;Federación de Criadores de Caballos Chilenos Santiago -2014;;;SUBSECRETARÍA DEL MEDIO AMBIENTE;AW002;493
81713;2014-11-28;1 Libro sobre Caballos;Regalo de Navidad;Federación de Criadores de Caballos de Chile;;;SUBSECRETARÍA DE HACIENDA;AE001;365
81710;2014-12-16;Sable esgrima;Saludos a la Ministra;Federación de Esgrima;;;SUBSECRETARIA DEL DEPORTE;BA001;120
81715;2014-12-26;Productos de Cobre Hielera, Coctelera y pinzas para el hielo;Obsequi de Fin de Año;FENABUS;;;SUBSECRETARÍA DE ECONOMÍA;AH001;337
81711;2014-12-26;HIELERA Y COCKTELERA;PRESENTE DE NAVIDAD;FENABUS;;;SUBSECRETARÍA DE ECONOMÍA;AH001;341
81713;2014-12-24;1 Hielera y 1 coctelera;Regalo de Navidad;FENABUS;;;SUBSECRETARÍA DE HACIENDA;AE001;384
81720;2014-12-26;Coctelera de Cobre (enviado a Servicio de Bienestar,  para fines Solidarios,  mediante Oficio Ord. N° 3389, 31/12/2014);Regalo de Navidad;FENABUS;;;SUBSECRETARÍA DE OBRAS PÚBLICAS;AM001;420
81731;2015-01-05;Agenda 2015;Navidad;Fernando Varela Palma, Embajador de Turquía;;;SUBSECRETARIA DE VIVIENDA Y URBANISMO;AP001;500
81691;2014-12-03;01 Lapiz;Saludo Protocolar;Fiscal Nacional Sabas Chahuan;;;FUERZA AÉREA DE CHILE;AD008;95
81705;2014-12-18;Galvano de reconocimiento;En el día nacional antilavado de activos;Fiscalía / Ministerio Público de Chile;;;SUBSECRETARIA PARA LAS FUERZAS ARMADAS;AD022;172
81694;2014-12-29;LIBRO "CONSTRUYENDO UN FONDO LATINOAMERICANO DE RESERVAS" LOS 35 AÑOS DEL FLAR.;REGALO ;FONDO LATINOAMERICANO DE RESERVA;;;SUBSECRETARÍA DE EDUCACIÓN;AJ001;350
81705;2015-01-12;Agenda Institucional 2015 FACH;Regalo;Fuerza Aérea de Chile;;;SUBSECRETARIA PARA LAS FUERZAS ARMADAS;AD022;550
81941;2014-12-22;Portalápices y lápiz pasta.;Cortesía navideña;Fundación Altiplano;;;SUBSECRETARÍA DE DESARROLLO REGIONAL Y ADMINISTRATIVO (SUBDERE);AB002;218
81928;2014-12-25;2 BOTELLAS DE VINO Y UN JUEGO DE AJEDREZ;NAVIDAD;FUNDACION ARTURO LOPEZ PEREZ;;;SUBSECRETARÍA DE SALUD PÚBLICA ;AO001;330
81472;2014-12-17;LIBRO;SALUDO NAVIDEÑO;FUNDACION AVANZA CHILE;;;CONTRALORIA GENERAL DE LA REPUBLICA;NR002;19
81711;2014-12-17;LIBRO;SIN MOTIVO ESPECIFICO;FUNDACION CARLOS VIAL ESPANTOSO;;;SUBSECRETARÍA DE ECONOMÍA;AH001;152
81715;2015-01-23;cuadro con foto ceremonia de premiación;participación en Ceremonia de Premiación de la XII versión del estudio “Mejores Empresas para Madres y Padres que trabajan 2014";Fundacion Chile Unido;;;SUBSECRETARÍA DE ECONOMÍA;AH001;695
34978;2014-12-22;Libro La Huella del hombre, The Human Trace;Obsequio institucional por lanzamiento;Fundación estación mapocho;;;INSTITUTO NACIONAL DE DERECHOS HUMANOS;CO001;65
81921;2015-01-15;Revista Chilena de Derecho Privado;Publicación Fundación Fernando Fueyo - Universidad Diego Portales;Fundación Fernando Fueyo Universidad Diego Portales;;;CONSEJO DE DEFENSA DEL ESTADO (CDE);AX001;698
81712;2015-01-15;Libro "Huellas, 70 años creando una cultura de verdadero amor y respeto al pobre";Regalo de cortesía;Fundación Hogar de Cristo;;;SUBSECRETARÍA DE HACIENDA;AE001;693
81694;2014-12-23;CALENDARIO 2015 Y LIBROS FLORA RESERVA BIOLOGICA HUILO HUILO  VOLUMEN I II Y III;DIFUSIÓN ;FUNDACION HUILO HUILO;;;SUBSECRETARÍA DE EDUCACIÓN;AJ001;316
81731;2014-12-23;libros Flora  Volumén 1, 2 y 3, Reserva Biológica Huilo Huilo;Navidad;FUNDACION HUILO HUILO;;;SUBSECRETARIA DE VIVIENDA Y URBANISMO;AP001;262
81752;2014-12-23;Libro y calendario 2015;Regalo Navideño;Fundación Huilo Huilo;;;SUBSECRETARÍA DEL MEDIO AMBIENTE;AW002;288
81749;2014-12-22;Libros de Flora Reserva Biológica Huilo Huilo  Volumen I, II, III ;Obsequio de Navidad ;Fundación Huilo Huilo;;;SUBSECRETARÍA DEL MEDIO AMBIENTE;AW002;490
81715;2015-01-19;Caja con tres botellas de vino;cortesia;Fundacion Imagen Chile;;;SUBSECRETARÍA DE ECONOMÍA;AH001;599
81711;2014-12-23;VINOS;PRESENTE DE NAVIDAD;FUNDACIÓN IMAGEN DE CHILE;;;SUBSECRETARÍA DE ECONOMÍA;AH001;275
81723;2014-12-23;Dos vinos;Navidad;Fundación Imagen de Chile;;;SUBSECRETARÍA DE TURISMO;AH011;414
81711;2015-01-15;1 CALENDARIO DE ESCRITORIO;CORTESÍA;FUNDACIÓN INTEGRA;;;SUBSECRETARÍA DE ECONOMÍA;AH001;592
35022;2014-12-29;Caja de galletas navideñas ;Navidad;Fundación Opción;;;MINISTERIO PUBLICO;NR008;8
81962;2015-01-07;1 EJEMPLAR LIBRO: "LA REITEGRACIÓN EDUCATIVA, LOS COLEGIOS DE SEGUNDA OPORTUNIDAD COMO VÍA DE RESTAURACIÓN DEL DERECHO A LA EDUCACIÓN";CORTESÍA;FUNDACIÓN OPCIÓN;;;SUBSECRETARÍA DE JUSTICIA;AK001;632
81697;2015-01-16;1 EJEMPLAR LIBRO: "LA REITEGRACIÓN EDUCATIVA, LOS COLEGIOS DE SEGUNDA OPORTUNIDAD COMO VÍA DE RESTAURACIÓN DEL DERECHO A LA EDUCACIÓN";CORTESÍA;FUNDACIÓN OPCIÓN;;;SUBSECRETARÍA DE JUSTICIA;AK001;669
81962;2015-01-16;1 EJEMPLAR DISCURSO "IN THE AIR TONIGTH, LA FACTURA DE LA HISTORIA", DE ROBERTO AMPUERO.;CORTESÍA;FUNDACIÓN PARA EL PROGRESO;;;SUBSECRETARÍA DE JUSTICIA;AK001;638
81708;2014-11-28;Libro "Valparaíso, Un siglo de Historia Visual del Transporte Público";Atención;Fundación Procultura;Alberto Larraín;;SUBSECRETARIA DE TRANSPORTES;AN001;69
81752;2014-12-23;Vino Espumante ;Regalo navideño ;Fundación Reforestemos Patagonia;;;SUBSECRETARÍA DEL MEDIO AMBIENTE;AW002;284
81713;2015-01-15;1 Calendario de escritorio 2015;Regalo de Cortesía;Fundacion Teletón;;;SUBSECRETARÍA DE HACIENDA;AE001;703
81697;2015-01-19;1 EJEMPLAR CALENDARIO 2015;CORTESÍA;FUNDACIÓN TELETÓN;;;SUBSECRETARÍA DE JUSTICIA;AK001;675
81957;2014-12-10;Libro Parque Nacional Monte Leon;Cortesía;Fundación Tompkins Conservation;;;SUBSECRETARÍA DE BIENES NACIONALES;AQ001;112
81746;2014-12-19;Vinos;Fiesta Navideña;Fundo Sofruco;;;SUBSECRETARÍA DE AGRICULTURA;AR001;234
81749;2015-01-06;Libro "Nunca Crezcas y nunca de dejes de soñar Perter Pan  El Musical;Obsequio directamente a Ministro ;Gala Muisical Mall Plaza Enero 2015;;;SUBSECRETARÍA DEL MEDIO AMBIENTE;AW002;515
81764;2015-01-05;Libro "Gas Natural Fenosa, de Barcelona al mundo. Sus primeros 170 años de historia".;Navidad;Gas Natural Fenosa;;;SUBSECRETARIA DE ENERGÍA;AU002;537
34978;2014-12-22;Libro Cattetera Austral;Obsequio institucional por lanzamiento;George Munro;;;INSTITUTO NACIONAL DE DERECHOS HUMANOS;CO001;66
81731;2014-12-23;Libro "Vicente Huidobro - en la constelación cantante de las aguas;Navidad;Gerente General Aguas Andinas Jordi Valls Riera;;;SUBSECRETARIA DE VIVIENDA Y URBANISMO;AP001;317
81694;2014-12-17;LIBRO SANTIAGO DESDE EL AIRE;SALUDO DE NAVIDAD ;GERENTE GENERAL DE ENTEL;;;SUBSECRETARÍA DE EDUCACIÓN;AJ001;138
81731;2014-12-24;Ejemplar Libro "Aguas Nuevas ;Navidad;Gerente General Grupo Aguas Nuevas  Salvador Villarino;;;SUBSECRETARIA DE VIVIENDA Y URBANISMO;AP001;323
81752;2014-12-23;Calendario 2015;Regalo Navideño ;Giz;;;SUBSECRETARÍA DEL MEDIO AMBIENTE;AW002;286
81722;2014-12-23;CARGADOR PORTATIL DE CELULAR;NAVIDAD;GLOBALVIA AUTOPISTA DEL ACONCAGUA;;;SUBSECRETARÍA DE OBRAS PÚBLICAS;AM001;273
81711;2015-01-08;1 CALENDARIO DE ESCRITORIO;PRESENTE DE NAVIDAD;GNL QUINTERO;;;SUBSECRETARÍA DE ECONOMÍA;AH001;539
81752;2015-01-15;Calendario 2015;Obsequio fin de año ;GNL Quintero S.A.;;;SUBSECRETARÍA DEL MEDIO AMBIENTE;AW002;590
82046;2014-12-29;libro;obsequio de navidad;gobernación del maule;;;SERVICIO NACIONAL DE LA MUJER (SERNAM);AT001;424
81713;2014-12-19;1 Libro Vicente Huidobro;Regalo de Navidad;GRUPO AGUAS;;;SUBSECRETARÍA DE HACIENDA;AE001;377
81749;2014-12-22;Libro Aguas Nuevas . Por una vida Mejor ;Obsequio de Navidad;Grupo Aguas Nuevas;;;SUBSECRETARÍA DEL MEDIO AMBIENTE;AW002;482
81472;2014-12-22;CD;SALUDO NAVIDEÑO;GRUPO DIAL;;;CONTRALORIA GENERAL DE LA REPUBLICA;NR002;25
81694;2014-12-23;GRUPO DIAL CD MUSICA;REGALO DE NAVIDAD;GRUPO DIAL;;;SUBSECRETARÍA DE EDUCACIÓN;AJ001;307
81705;2014-12-23;CD Amores Notables / Grupo Dial;Merchandising promocional;Grupo Dial;;;SUBSECRETARIA PARA LAS FUERZAS ARMADAS;AD022;306
81713;2014-12-22;1 Disco Compacto CD "Amores Notables";Regalo de Navidad;Grupo Dial S.A.;;;SUBSECRETARÍA DE HACIENDA;AE001;381
81712;2014-12-23;1 CD Amores Notables;Regalo de Navidad;Grupo Dial S.A.;;;SUBSECRETARÍA DE HACIENDA;AE001;441
81962;2014-12-30;1 EJEMPLAR DE LA REVISTA GERENCIA N°194 EDICIÓN DE DICIEMBRE 2014;Cortesía;GRUPO EDITORIAL EMB;;;SUBSECRETARÍA DE JUSTICIA;AK001;360
81962;2014-12-30;1 EJEMPLAR DE LA REVISTA DINERO N°73 EDICIÓN DICIEMBRE 2014;Cortesía;GRUPO EDITORIAL EMB;;;SUBSECRETARÍA DE JUSTICIA;AK001;361
81962;2015-01-22;1 EJEMPLAR REVISTA "GERENCIA", EDICIÓN N° 1, ENERO 2015;CORTESÍA;GRUPO EDITORIAL EMB;;;SUBSECRETARÍA DE JUSTICIA;AK001;642
81962;2015-01-29;1 EJEMPLAR "REVISTA DINERO, INVERSIÓN Y CONSUMO", EDICIÓN N° 74, ENERO 2015;CORTESÍA;GRUPO EDITORIAL EMB;;;SUBSECRETARÍA DE JUSTICIA;AK001;646
81708;2014-12-12;Libro "La Carretera Austral";Atención;Hernán Mladinic - Proyecto Parque Pumalín;;;SUBSECRETARIA DE TRANSPORTES;AN001;109
81729;2015-01-06;LIBRO HUELLAS ;TRABAJO EN CONJUNTO ;HOGAR DE CRISTO;;;SUBSECRETARIA DE EVALUACIÓN SOCIAL;AI007;700
81697;2015-01-12;1 EJEMPLAR HUELLAS "70 AÑOS CREANDO UNA CULTURA E VERDADERO AMOR Y RESPETO AL POBRE";CORTESÍA;HOGAR DE CRISTO;;;SUBSECRETARÍA DE JUSTICIA;AK001;663
81727;2015-01-15;Publicación "Huellas, 70 años creando una cultura de verdadero amor y respeto al pobre";obsequio  navideño;Hogar de Cristo;;;SUBSECRETARÍA GENERAL DE LA PRESIDENCIA;AF001;588
81723;2014-12-23;Condimentos Sabores del Sur (Rica-Rica y merquén);Navidad;Hotel Cumbres;;;SUBSECRETARÍA DE TURISMO;AH011;416
81711;2014-12-23;3 LIBROS Y 1 CALENDARIO;PRESENTE DE NAVIDAD;HUILO HUILO;;;SUBSECRETARÍA DE ECONOMÍA;AH001;287
81698;2014-12-22;Toalla de Playa - CrediCorp Capital;Fiestas de Fin de Año;I.M. TRUST S.A. CORREDORES DE BOLSA;;;CONSEJO PARA LA TRANSPARENCIA;CT001;260
81713;2015-01-09;1 Directorio de Empresas 2015;Regalo de Cortesía;I.T.V. Editores;;;SUBSECRETARÍA DE HACIENDA;AE001;705
82143;2015-01-12;DIRECTORIO DE EMPRESAS (NOTA: Llegó en el periodo en que no se había nombrado nueva Ministra);FIESTAS DE FIN DEAÑO;I.T.V. EDITORES;;;SUBSECRETARÍA DE SALUD PÚBLICA ;AO001;654
81472;2015-01-06;GALARDON DE VIDRIO;ENTREGA PREMIO RANKING LEADING LAWYERS CHILE;IDEALIS;;;CONTRALORIA GENERAL DE LA REPUBLICA;NR002;32
81752;2014-12-03;Libreta de notas;Conferencia de las partes sobre Cambio Climatico, COP 20 Lima 2014;IDMA, Centro de formación Técnica del Medio Ambiente;;;SUBSECRETARÍA DEL MEDIO AMBIENTE;AW002;94
81697;2015-01-19;1 EJEMPLAR "REVISTA PASTORAL CARCELARIA", EDICIÓN N° 3;CORTESÍA;IGLESIA CATÓLICA, GENDARMERÍA DE CHILE;;;SUBSECRETARÍA DE JUSTICIA;AK001;674
81729;2014-12-06;Galvano (moneda) ;Participacion de Ministra en Primer Cobgreso de Mujeres de Maipu;Ilustre Municipalidad de Maipu;;;SUBSECRETARIA DE EVALUACIÓN SOCIAL;AI007;475
81705;2015-01-15;Invitaciones golden, Festival Internacional de Jazz;Invitación de obsequio.;Ilustre Municipalidad de Providencia;;;SUBSECRETARIA PARA LAS FUERZAS ARMADAS;AD022;594
81697;2015-01-09;1 EJEMPLAR REVISTA "PAST&PANHE";CORTESÍA;INDUPAN A.G.;;;SUBSECRETARÍA DE JUSTICIA;AK001;657
35022;2014-12-17;Libro "La medición de la reincidencia y sus implicancias en la Política Criminal". 
Autores: Carolina Villagra, Olga Espinoza, Fernando Martínez. 
Libro es donado por la DER a la Biblioteca de la Fiscalía Centro Norte.;Seminario de Justicia Terapéutica;Instituto de Asuntos Públicos;;;MINISTERIO PUBLICO;NR008;6
81711;2014-12-17;LIBRO;SIN MOTIVO ESPECIFICO;INSTITUTO DE ECONOMÍA PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE;;;SUBSECRETARÍA DE ECONOMÍA;AH001;150
81921;2015-01-29;Folleto sobre el aborto;Ninguna;Instituto de Estudios de la Sociedad;;;CONSEJO DE DEFENSA DEL ESTADO (CDE);AX001;694
81697;2015-01-13;1 EJEMPLO "REVISTA CHILENA DE INGENIERÍA", EDICIÓN N° 473, DICIEMBRE 2014;CORTESÍA;INSTITUTO INGENIEROS DE CHILE;;;SUBSECRETARÍA DE JUSTICIA;AK001;667
81697;2015-01-19;1 EJEMPLAR PUBLICACIÓN "SITUACIÓN DE LOS DERECHOS HUMANOS, INFORME ANUAL 2014";CORTESÍA;INSTITUTO NACIONAL DE DERECHOS HUMANOS;;;SUBSECRETARÍA DE JUSTICIA;AK001;676
81752;2015-01-26;Libro "Situación de los Derechos Humanos Informe anual 2014";Llega directamente al Gabinete del Subsecretario;Instituto Nacional de Derechos Humanos;;;SUBSECRETARÍA DEL MEDIO AMBIENTE;AW002;610
81705;2015-01-26;Informe anual 2014: Situación de los Derechos Humanos. ;Informativo;Instituto Nacional de Derechos Humanos;;;SUBSECRETARIA PARA LAS FUERZAS ARMADAS;AD022;613
81810;2014-12-16; BANDERA;REUNION DE TRABAJO CON INTENDENTE DE MAGALLENES;INTENDENCIA DE MAGALLANES;;;SUBSECRETARÍA DE RELACIONES EXTERIORES;AC001;176
81942;2014-12-19;Frasco de Miel Orgánica;Saludo por fiestas de fin de año;Interexpo;;;SUBSECRETARÍA DE PREVENCIÓN DE DELITOS;AB093;232
81723;2014-12-22;Bandeja de vidrio para aperitivo;Navidad;InterExpo;;;SUBSECRETARÍA DE TURISMO;AH011;240
81752;2014-12-23;Vino, chocolates y calendario 2015;Obsequio de Navidad;Intergas;;;SUBSECRETARÍA DEL MEDIO AMBIENTE;AW002;285
81764;2014-12-26;Botella Castillo de Melina y Chocolates;Navidad;Intergas S. A.;;;SUBSECRETARIA DE ENERGÍA;AU002;338
81722;2014-12-23;CAFÉ EN GRANO Y CHOCOLATES;NAVIDAD;INTERVIAL CHILE;;;SUBSECRETARÍA DE OBRAS PÚBLICAS;AM001;274
81720;2014-12-17;Cafetera, Café y Chocolate Coquinaria (enviado a Servicio de Bienestar para fines  Solidarios, mediante Oficio Ord. N° 3389 , 31/12/2014);Regalo de Navidad;ISA INTERVIAL;;;SUBSECRETARÍA DE OBRAS PÚBLICAS;AM001;418
81921;2015-01-09;Libro, Directorio Nacional de Empresas y Ejecutivos / ITV;CORTESIA;ITV EDITORES;;;CONSEJO DE DEFENSA DEL ESTADO (CDE);AX001;543
81941;2015-01-12;Directorio Nacional de Empresas y Ejecutivos;Cortesía enviada por correo;ITV Editores;;;SUBSECRETARÍA DE DESARROLLO REGIONAL Y ADMINISTRATIVO (SUBDERE);AB002;547
81711;2015-01-09;1 GUIA (DIRECTORIO NACIONAL DE EMPRESAS Y EJECUTIVOS 2014-2015);SIN MOTIVO ESPECIFICO;ITV EDITORES;;;SUBSECRETARÍA DE ECONOMÍA;AH001;541
81694;2015-01-13;DIRECTORIO NACIONAL DE EMPRESAS Y EJECUTIVOS 2015;REGALO;ITV EDITORES;;;SUBSECRETARÍA DE EDUCACIÓN;AJ001;577
81705;2015-01-09;Libro Directorio Nacional de Empresas y Ejecutivos;Regalo;ITV Editores;;;SUBSECRETARIA PARA LAS FUERZAS ARMADAS;AD022;548
81749;2014-12-19;Libro " Chile Silvestre";Obsequio de Navidad ;Jaime Illanes y Asociados  Consultores S.A.;;;SUBSECRETARÍA DEL MEDIO AMBIENTE;AW002;488
81752;2014-12-23;Libro ;Regalo Navideño ;Jaime Illanes y Asociados Consultores S.A.;;;SUBSECRETARÍA DEL MEDIO AMBIENTE;AW002;289
81749;2015-01-27;Libro  YACHAY KUSUN Enseñanzas Andinas Frente al Cambio Climático ;obsequio directamente a gabinete del Minstro;Jean- Gabriel Duss;;;SUBSECRETARÍA DEL MEDIO AMBIENTE;AW002;615
81705;2014-12-02;Merchandising empresa: Lapiceras y porta lápiz ;Exponaval;Judith Mercado (FIDAE);;;SUBSECRETARIA PARA LAS FUERZAS ARMADAS;AD022;80
81745;2014-12-30;1 botella de licor y 1 libreta de notas con agenda 2015;Navidad;Korea Resources Corporation;;;SUBSECRETARÍA DE MINERÍA;AS001;422
81705;2014-12-17;Libros: Fundamentos de la Sociedad Libre / La Otra Mirada de Niall Ferguson;Saludo navideño;La Otra Mirada;;;SUBSECRETARIA PARA LAS FUERZAS ARMADAS;AD022;270
81697;2014-12-17;1 CALENDARIO AÑO 2015;Cortesía;LA PROTECTORA DE LA INFANCIA;;;SUBSECRETARÍA DE JUSTICIA;AK001;389
81962;2015-01-15;1 EJEMPLAR REVISTA LT, LATIN TRADE, EDICIÓN SEPTIEMBRE, OCTUBRE 2014: "LIDERAZGO TRANSFORMADOR";CORTESÍA;LATIN TRADE;;;SUBSECRETARÍA DE JUSTICIA;AK001;635
81697;2015-01-13;1 EJEMPLAR REVISTA LT, LATIN TRADE, EDICIÓN SEPTIEMBRE, OCTUBRE 2014: "LIDERAZGO TRANSFORMADOR";CORTESÍA;LATIN TRADE;;;SUBSECRETARÍA DE JUSTICIA;AK001;666
81928;2014-12-23;AGENDA Y CALENDARIO;FIESTA DE NAVIDAD;LAVINUR LAVANDERIA INDUSTRIAL;;;SUBSECRETARÍA DE SALUD PÚBLICA ;AO001;318
81711;2014-12-19;1 CALENDARIO Y 1 UNA LATA DE GALLETAS;PRESENTE DE NAVIDAD;MAERSK;;;SUBSECRETARÍA DE ECONOMÍA;AH001;209
81713;2014-12-19;1 Calendario y caja de dulces;Regalo de Navidad;MAERSK CONTAINER INDUSTRY - San ANTONIO;;;SUBSECRETARÍA DE HACIENDA;AE001;379
82046;2015-01-05;entradas  ;invitación a gala del musical peter pan;mall plaza;;;SERVICIO NACIONAL DE LA MUJER (SERNAM);AT001;516
81716;2015-01-06;Invitación ;Gala Municipal Mall Plaza;Mall Plaza;;;SUBSECRETARIA DE EVALUACIÓN SOCIAL;AI007;513
81712;2015-01-06;Una entrada doble a gala del musical "Peter Pan";Evento Artístico;Mall Plaza S.A.;;;SUBSECRETARÍA DE HACIENDA;AE001;689
81962;2015-01-07;2 ENTRADAS VIP PLATINIUM PARA EL 14 DE ENERO DE 2015 A LAS 20:30 HORAS, GALA ESTACIÓN MAPOCHO "PETER PAN, EL MUSICAL";CORTESÍA;MALL PLAZA, LA ARAUCANA CORPORACIÓN CULTURAL Y LEY DE DONACIONES CULTURALES;;;SUBSECRETARÍA DE JUSTICIA;AK001;631
