IDPasivo;Fecha_Donativo;Singularizacion_Donativo;Ocasion_Donativo;Nombre_DonanteEntidad;Nombre_DonanteActivo;Apellidos_DonanteActivo;Nombre_Institucion;IDORPortal_Institucion;IDDonativo
82370;2014-12-22;Botella de Champagne Valdivieso;S/I;;Nourredine Yazid;;SENADO;NR005;49
82370;2014-12-22;Colección de películas chilenas;S/I;;Oscar Reyes Peña;;SENADO;NR005;59
81705;2014-12-01;Libro "Un alma de Dios" / Gustave Flaubert;Regalo de Navidad;;Pablo A. Correa;;SUBSECRETARIA PARA LAS FUERZAS ARMADAS;AD022;73
81750;2014-12-09;CAJA DE BOMBONES. PORTALÁPIZ Y LÁPIZ DE TINTA  MEMORIA ANUAL 2013 DEL PODER JUDICIAL DEL PERU. LIBRO IURIS OMNES. LIBRO YA VUELVO MAMI. LIBRETA DE ANOTACIONES. BUFANDA. BOTELLA DE PISCO ITALIA. ESCULTURA DE LA CORTE SUPERIOR DE JUSTICIA DE AREQUIPA;VISITA DELEGACION DE AUTORIDADES JUDICIALES DE AREQUIPA, PERÚ ;;PERCY GÓMEZ BENAVIDES;;CORPORACIÓN ADMINISTRATIVA DEL PODER JUDICIAL;NR001;343
81942;2014-12-23;Corbata;Saludo por fiestas de fin de año;;Ricardo P. Solar Roberts. General de Carabineros. Jefe Zona Seguridad Privada y Control Armas.;;SUBSECRETARÍA DE PREVENCIÓN DE DELITOS;AB093;325
81712;2014-12-18;1 Set de Palitos Chinos;Lanzamiento 4 ejes para potenciar exportaciones de las PYMES;;Roberto Fantuzzi;;SUBSECRETARÍA DE HACIENDA;AE001;438
81712;2014-12-26;1 CD Taller Alturas de Magallanes;Regalo de Navidad;;Senadora Carolina Goic;;SUBSECRETARÍA DE HACIENDA;AE001;445
82370;2014-12-29;Libro "VOCES DE ORIGEN MAPUDUNGUN";Enviado por  Sergio Urbina Squella, Director de asuntos corporativos y Gerente General La Corporación Cultural La Araucana;;Sergio Urbina Squella;;SENADO;NR005;35
81719;2015-01-27;Canasto de Frutas - Donado a Fundación Paternitas;Visita a Feria Libre Feria Libre N°1 Comuna de Quinta Normal;;Sin Información;;SUBSECRETARÍA DEL TRABAJO;AL001;702
82370;2014-12-22;Caja con productos varios (pastas, quesos, vino, jamón);S/I;;Siria Jeldes Chang;;SENADO;NR005;51
82348;2014-12-16;Cofre de madera con 1 vino marca Lapostolle;S/I;;Soc.Concesionaria Valles del Bio Bio;;SENADO;NR005;42
81697;2014-12-17;1 ANUARIO AUTOMOTRIZ;Cortesía;;SR. ÁLVARO MENDOZA NEGRI - PRESIDENTE ASOCIACIÓN  NACIONAL AUTOMOTRIZ DE CHILE A.G.;;SUBSECRETARÍA DE JUSTICIA;AK001;396
81697;2014-12-29;1 EJEMPLAR DEL LIBRO SANTIAGO DESDE EL AIRE;Navidad;;SR. ANTONIO BÜCHI BUC - GERENTE GENERAL ENTEL;;SUBSECRETARÍA DE JUSTICIA;AK001;405
81962;2014-12-01;1 EJEMPLAR DEL REPORTE DE SOSTENIBILIDAD 2013 (85 AÑOS 1928-2013);Cortesía;;SR. CLAUDIO ELÓRTEGUI RAFFO, RECTOR, P. UNIV. CATÓLICA DE VALPARAÍSO;;SUBSECRETARÍA DE JUSTICIA;AK001;355
81962;2014-12-19;1 EJEMPLAR DEL LIBRO "CUÁN SUSTENTABLE ES LA REGIÓN DE ANTOFAGASTA" (INDICADORES Y TENDENCIAS PARA UN DESARROLLO REGIONAL SUSTENTABLE);Cortesía;;SR. CRISTIÁN RODRÍGUEZ SALAS, DIRECTOR INSTITUTO DE POLÍTICAS PÚBLICAS DE LA UNIVERSIDAD CATÓLICA DEL NORTE;;SUBSECRETARÍA DE JUSTICIA;AK001;358
81697;2014-12-23;1 EJEMPLAR DEL LIBRO GRANDES FIRMAS DEL MUNDO;Cortesía;;SR. CRISTIÁN ZEGERS - EL MERCURIO;;SUBSECRETARÍA DE JUSTICIA;AK001;403
81697;2014-12-17;1 EJEMPLAR DEL LIBRO OBRA TEMPRANA - VICENTE HUIDOBRO;Navidad;;SR. FELIPE LARRAIN ASPILLAGA - PRESIDENTE DIRECTORIO AGUAS ANDINAS;;SUBSECRETARÍA DE JUSTICIA;AK001;393
81783;2014-12-19;Dos botellas de vino ;Fin de Año;;Sr. Hernán Henriquez, Concejal de la Comuna de Buín;;SUBSECRETARÍA DE RELACIONES EXTERIORES;AC001;456
81697;2014-12-17;1 EJEMPLAR DEL LIBRO "CÓDIGO ORGÁNICO INTEGRAL PENAL";Cortesía;;SR. JERONIMO CARCELEN - ABOGADO;;SUBSECRETARÍA DE JUSTICIA;AK001;387
81962;2014-12-19;1 CALENDARIO AÑO 2015;Cortesía;;SR. LI BAORONG, EMBAJADOR EXTRAORDINARIO Y PLENIPOTENCIARIO DE LA REPÚBLICA POPULAR CHINA EN LA REPÚBLICA DE CHILE;;SUBSECRETARÍA DE JUSTICIA;AK001;359
81697;2014-12-17;1 CALENDARIO AÑO 2015;Cortesía;;SR. LI BAORONG, EMBAJADOR EXTRAORDINARIO Y PLENIPOTENCIARIO DE LA REPÚBLICA POPULAR CHINA EN LA REPÚBLICA DE CHILE;;SUBSECRETARÍA DE JUSTICIA;AK001;395
81783;2014-12-23;Cinco compact disc de selección;Fin de Año;;Sr. Oscar Reyes, Presidente del Consejo Nacional de Televisión;;SUBSECRETARÍA DE RELACIONES EXTERIORES;AC001;460
81962;2014-12-30;LIBRO "EL SILENCIO DE LOS JUECES" DE VÍCTOR ILICH;Cortesía;;SR. VÍCTOR ILICH RUIZ HUERTA;;SUBSECRETARÍA DE JUSTICIA;AK001;362
81697;2014-12-29;1 EJEMPLAR DEL LIBRO EL SILENCIO DE LOS JUECES;Cortesía;;SR. VÍCTOR ILICH RUIZ HUERTA;;SUBSECRETARÍA DE JUSTICIA;AK001;404
81697;2014-12-17;MEMORIA FUNDACIÓN EDUCACIONAL SÚMATE  (HOGAR DE CRISTO);Cortesía;;SRA. LILIANA CORTES ROJAS - DIRECTORA EJECUTIVA DE FUNDACIÓN SÚMATE;;SUBSECRETARÍA DE JUSTICIA;AK001;391
81697;2014-12-17;1 AGENDA AÑO 2015;Navidad;;SRA. NACIYE GÖKCEN  KAYA - EMBAJADORA DE TURQUÍA;;SUBSECRETARÍA DE JUSTICIA;AK001;394
81697;2014-12-17;PUBLICACIÓN "LA RESPONSABILIDAD SOCIAL CONSTRUYENDO SENTIDOS ÉTICOS PARA EL DESARROLLO";Cortesía;;SRA. SOLEDAD TEIXODO - PRESIDENTA EJECUTIVA FUNDACIÓN PRO-HUMANA;;SUBSECRETARÍA DE JUSTICIA;AK001;388
81750;2014-12-23;PRODUCTOS ALIMENTICIOS DE TAILANDIA;CON MOTIVO DE LA NAVIDAD, ENVIADO POR CORREO;;SURAPON PETCH-VRA;;CORPORACIÓN ADMINISTRATIVA DEL PODER JUDICIAL;NR001;344
81697;2015-01-12;1 EJEMPLAR REVISTA "CRYPTO MEGAZINE", EDICIÓN N° 3;CORTESÍA;;TANJA DEHINDEN, REDACTORA JEFE;;SUBSECRETARÍA DE JUSTICIA;AK001;658
82356;2015-01-07;Senador Hernán Larraín Fernández;Beca de aranceles gratuitos.  La beca se otorga desde 1994 y es entregada por una comisión compuesta por personas relacionadas con la educación de la comuna de Linares a alumnos egresados de cuarto año de enseñanza media de escasos recursos económicos que;;Universidad de Las Américas;;SENADO;NR005;45
82356;2015-01-07;Senador Hernán Larraín Fernández;Beca de Estudios con aranceles gratuitos. La beca es otorgada desde 1994 y entregada por una comisión integrada por personas relacionas con la educación de la comuna de Linares, a alumnos egresados de cuarto año de enseñanza media de escasos recursos econ;;Universidad del Desarrollo;;SENADO;NR005;44
82001;2014-12-03;Un Pañuelo (Pashimina);presente  de navidad embajador de Pakistan;;Zamir Akram y Sadia Akram;;SUBSECRETARÍA DE RELACIONES EXTERIORES;AC001;160
81764;2015-01-15;Calendario 2015;Navidad;Aaron Cavieres, Director Ejecutivo CONAF;;;SUBSECRETARIA DE ENERGÍA;AU002;593
81722;2014-12-30;UN RELOJ DE ESCRITORIO;Navidad;ABERTIS AUTOPISTAS;;;SUBSECRETARÍA DE OBRAS PÚBLICAS;AM001;352
81694;2015-01-09;2 LIBROS 1  DICCIONARIO ;REGALO ;ACADEMIA CHILENA DE LA LENGUA;;;SUBSECRETARÍA DE EDUCACIÓN;AJ001;578
81694;2015-01-08;LIBRO HITORIA BIOGRAFICA DE LA MEDICINA CHILENA 1810-2010;REGALO ;ACADEMIA CHILENA DE MEDICINA;;;SUBSECRETARÍA DE EDUCACIÓN;AJ001;583
81694;2014-12-23;LIBRO "CHILE - BOLIVIA. BREVE HISTORIAS DE SUS CONTROVERSIAS";SALUDO;ACADEMIA DE HISTORIA MILITAR;;;SUBSECRETARÍA DE EDUCACIÓN;AJ001;310
81696;2014-12-23;LIBRO CHILE - BOLIVIA BREVE HISTORIA DE SUS CONTROVERSIAS;Saludo;ACADEMIA DE HISTORIA MILITAR;;;SUBSECRETARÍA DE EDUCACIÓN;AJ001;332
81705;2015-01-27;Libro sobre la Diplomacía;Informativo;Academia Diplomática "Andrés Bello";;;SUBSECRETARIA PARA LAS FUERZAS ARMADAS;AD022;617
81697;2015-01-16;1 EJEMPLAR PUBLICACIÓN "DIPLOMACIA";CORTESÍA;ACADEMIA DIPLOMÁTICA ANDRÉS BELLO, A TRAVÉS DE SU DIRECTOR;;;SUBSECRETARÍA DE JUSTICIA;AK001;670
81749;2015-01-13;Aerogenerador en miniatura;Obsequio directamente al Ministro ;Acciona;;;SUBSECRETARÍA DEL MEDIO AMBIENTE;AW002;564
81765;2015-01-13;Torre Eólica  en miniatura ;Inauguración del Parque  Eólico Punta Palmera   ;Acciona Windpower;;;SUBSECRETARIA DE ENERGÍA;AU002;624
81764;2014-12-23;Libro Vicente Huidobro;Navidad;Aguas Andina S. A.;;;SUBSECRETARIA DE ENERGÍA;AU002;406
81709;2014-12-18;Libro "Vicente Huidobro: En la Constelación Cantante de las Aguas" (Ingresado al Inventario MTT Acta N° 24303);Navidad;Aguas Andina S.A..;;;SUBSECRETARIA DE TRANSPORTES;AN001;158
81921;2014-12-18;LIBROS;NAVIDAD;AGUAS ANDINAS;;;CONSEJO DE DEFENSA DEL ESTADO (CDE);AX001;177
81472;2014-12-18;LIBRO;SALUDO NAVIDEÑO;AGUAS ANDINAS;;;CONTRALORIA GENERAL DE LA REPUBLICA;NR002;21
