FechaInicio_Viaje;FechaTermino_Viaje;Destino_Viaje;CostoTotal_Viaje;Monto_DesgloseViaje;OtroTipo_DesgloseViaje;Nombre_TipoDesglose;Nombre_FinancistaViaje;Apellidos_FinancistaViaje;Nombre_FinancistaViajeEntidad;IDPasivo;IDViaje_CodigoViaje;Nombre_Objeto;Otro_ObjetoViaje;Nombre_Institucion;IDORPortal_Institucion
2014-12-16;2014-12-16;Quintay y Valparaíso, V Región de Valparaíso.;40828;40828;Viático;Otros;;;Ministerio Obras Públicas;81720;234;Celebraciones, conmemoraciones e inauguraciones,;Inauguración Caleta de Quintay, etapa II. Reuniones Congreso Nacional - Cámara Diputados.;SUBSECRETARÍA DE OBRAS PÚBLICAS;AM001
2014-12-17;2014-12-17;Valparaíso, V Región de Valparaíso.;40828;40828;Viático;Otros;;;Ministerio Obras Públicas;81720;235;Entrevistas, reuniones o audiencias;Reuniones Congreso Nacional - Cámara Diputados.;SUBSECRETARÍA DE OBRAS PÚBLICAS;AM001
2014-12-09;2014-12-09;Valparaíso;40828;40828;Viático;Otros;;;Ministerio Secretaría General de la Presidencia;81727;160;Relacionamiento institucional;Asiste a sesiones en el Congreso Nacional, Valparaíso;SUBSECRETARÍA GENERAL DE LA PRESIDENCIA;AF001
2014-12-10;2014-12-10;Valparaíso;40828;40828;Viático;Otros;;;Ministerio Secretaría General de la Presidencia;81727;161;Relacionamiento institucional;Asiste a sesiones en el Congreso Nacional, Valparaíso;SUBSECRETARÍA GENERAL DE LA PRESIDENCIA;AF001
2015-01-06;2015-01-06;Valparaíso;40828;40828;Viático;Otros;;;Ministerio Secretaría General de la Presidencia;81727;334;Relacionamiento institucional;Asiste a sesiones en el Congreso Nacional en Valparaíso.;SUBSECRETARÍA GENERAL DE LA PRESIDENCIA;AF001
2015-01-07;2015-01-07;Valparaíso;40828;40828;Viático;Otros;;;Ministerio Secretaría General de la Presidencia;81727;335;Relacionamiento institucional;Ministra Rincón asiste a sesiones en el Congreso Nacional, Valparaíso;SUBSECRETARÍA GENERAL DE LA PRESIDENCIA;AF001
2015-01-20;2015-01-20;Valparaíso;40828;40828;Viático;Otros;;;Ministerio Secretaría General de la Presidencia;81727;342;Relacionamiento institucional;Ministra Rincón asiste a sesiones en el Congreso Nacional;SUBSECRETARÍA GENERAL DE LA PRESIDENCIA;AF001
2015-01-06;2015-01-06;VALPARAÍSO;40828;40828;VIÁTICO;Otros;;;SUBSECRETARÍA DE JUSTICIA;81697;408;Otro;ASISTENCIA A LA COMISIÓN DE CONSTITUCIÓN DEL SENADO;SUBSECRETARÍA DE JUSTICIA;AK001
2015-01-20;2015-01-20;VALPARAÍSO;40828;40828;VIÁTICO;Otros;;;SUBSECRETARÍA DE JUSTICIA;81697;409;Otro;ASISTENCIA A LA SALA DEL SENADO;SUBSECRETARÍA DE JUSTICIA;AK001
2014-12-02;2014-12-02;Iquique;193214;40828;Viático;Otros;;;Subsecretaría de Minería;81745;230;Seminarios, Conferencias o Congresos;Asistir a seminario "Altura Iquique";SUBSECRETARÍA DE MINERÍA;AS001
2014-12-12;2014-12-12;San Felipe;40828;40828;Viático;Otros;;;Subsecretaría de Minería;81745;231;Seminarios, Conferencias o Congresos;Asistir a taller "Reflexión acerca de las fundiciones chilenas".;SUBSECRETARÍA DE MINERÍA;AS001
2014-12-09;2014-12-09;Valparaíso;40828;40828;Viático;Otros;;;Subsecretaría de Minería;81744;247;Entrevistas, reuniones o audiencias;Asistir a sesión de la Comisión Especial Investigadora;SUBSECRETARÍA DE MINERÍA;AS001
2014-12-10;2014-12-10;Valparaíso;40828;40828;Viático;Otros;;;Subsecretaría de Minería;81744;248;Entrevistas, reuniones o audiencias;Asistir a sesión de Comisión de Minería Cámara de Diputados;SUBSECRETARÍA DE MINERÍA;AS001
